Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:19:02.867212 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7758, lateral-2: 1.6160, lateral-3: 1.5588, lateral-4: 1.5880, lateral-5: 1.5560, epsilon: 4.5424]
2025-10-24 12:19:07.508883 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7758, lateral-2: 1.5584, lateral-3: 1.5188, lateral-4: 1.5500, lateral-5: 1.5476, epsilon: 6.4178]
2025-10-24 12:19:11.854875 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7751, lateral-2: 1.5856, lateral-3: 1.5435, lateral-4: 1.5491, lateral-5: 1.5544, epsilon: 7.9389]
2025-10-24 12:19:16.496932 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7754, lateral-2: 1.5437, lateral-3: 1.5023, lateral-4: 1.5205, lateral-5: 1.5457, epsilon: 9.2777]
2025-10-24 12:19:21.481987 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7757, lateral-2: 1.5378, lateral-3: 1.4972, lateral-4: 1.5141, lateral-5: 1.5449, epsilon: 10.5000]
2025-10-24 12:19:26.230947 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7745, lateral-2: 1.5192, lateral-3: 1.4757, lateral-4: 1.4919, lateral-5: 1.5356, epsilon: 11.6397]
2025-10-24 12:19:30.176522 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7740, lateral-2: 1.5304, lateral-3: 1.4899, lateral-4: 1.4999, lateral-5: 1.5396, epsilon: 12.7166]
2025-10-24 12:19:34.891799 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7736, lateral-2: 1.5047, lateral-3: 1.4684, lateral-4: 1.4763, lateral-5: 1.5253, epsilon: 13.7439]
2025-10-24 12:19:39.307017 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7737, lateral-2: 1.5148, lateral-3: 1.4777, lateral-4: 1.4818, lateral-5: 1.5326, epsilon: 14.7305]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_2/Inf-Net-10.pth
2025-10-24 12:19:44.250583 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7727, lateral-2: 1.5281, lateral-3: 1.4875, lateral-4: 1.4847, lateral-5: 1.5326, epsilon: 15.6831]
