Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:30:52.802043 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7615, lateral-2: 1.6674, lateral-3: 1.6245, lateral-4: 1.5799, lateral-5: 1.5624, epsilon: 40.5547]
2025-10-24 12:30:55.860090 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7617, lateral-2: 1.5904, lateral-3: 1.5693, lateral-4: 1.5357, lateral-5: 1.5497, epsilon: 67.3649]
2025-10-24 12:30:58.872593 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7613, lateral-2: 1.5468, lateral-3: 1.5354, lateral-4: 1.5093, lateral-5: 1.5382, epsilon: 91.8295]
2025-10-24 12:31:02.102545 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7607, lateral-2: 1.5204, lateral-3: 1.5125, lateral-4: 1.4905, lateral-5: 1.5274, epsilon: 115.0760]
2025-10-24 12:31:05.294722 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7600, lateral-2: 1.5003, lateral-3: 1.4915, lateral-4: 1.4732, lateral-5: 1.5167, epsilon: 137.5426]
2025-10-24 12:31:08.442951 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7592, lateral-2: 1.4814, lateral-3: 1.4695, lateral-4: 1.4563, lateral-5: 1.5063, epsilon: 159.4546]
2025-10-24 12:31:11.711898 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7585, lateral-2: 1.4626, lateral-3: 1.4482, lateral-4: 1.4412, lateral-5: 1.4965, epsilon: 180.9461]
2025-10-24 12:31:15.038832 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.4431, lateral-3: 1.4286, lateral-4: 1.4273, lateral-5: 1.4873, epsilon: 202.1045]
2025-10-24 12:31:18.442304 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7571, lateral-2: 1.4233, lateral-3: 1.4108, lateral-4: 1.4140, lateral-5: 1.4785, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_3/Inf-Net-10.pth
2025-10-24 12:31:22.197874 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7565, lateral-2: 1.4034, lateral-3: 1.3944, lateral-4: 1.4010, lateral-5: 1.4700, epsilon: 243.6485]
