Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:42:08.531948 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7701, lateral-2: 1.5813, lateral-3: 1.6016, lateral-4: 1.5755, lateral-5: 1.5525, epsilon: 54.8910]
2025-10-24 12:42:12.960294 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7698, lateral-2: 1.5347, lateral-3: 1.5361, lateral-4: 1.5174, lateral-5: 1.5344, epsilon: 84.8094]
2025-10-24 12:42:17.212393 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7679, lateral-2: 1.5052, lateral-3: 1.5015, lateral-4: 1.4938, lateral-5: 1.5273, epsilon: 110.4391]
2025-10-24 12:42:22.127938 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7664, lateral-2: 1.4644, lateral-3: 1.4537, lateral-4: 1.4500, lateral-5: 1.4954, epsilon: 133.9877]
2025-10-24 12:42:26.987891 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7670, lateral-2: 1.4752, lateral-3: 1.4642, lateral-4: 1.4677, lateral-5: 1.5039, epsilon: 156.2438]
2025-10-24 12:42:31.259670 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7668, lateral-2: 1.4819, lateral-3: 1.4732, lateral-4: 1.4786, lateral-5: 1.5084, epsilon: 177.5980]
2025-10-24 12:42:36.086620 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7660, lateral-2: 1.4268, lateral-3: 1.4240, lateral-4: 1.4354, lateral-5: 1.4889, epsilon: 198.2751]
2025-10-24 12:42:40.954405 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7644, lateral-2: 1.4001, lateral-3: 1.3996, lateral-4: 1.4088, lateral-5: 1.4690, epsilon: 218.4212]
2025-10-24 12:42:46.453150 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7644, lateral-2: 1.3911, lateral-3: 1.3882, lateral-4: 1.4088, lateral-5: 1.4715, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_1/Inf-Net-10.pth
2025-10-24 12:42:51.891697 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7636, lateral-2: 1.3644, lateral-3: 1.3679, lateral-4: 1.3914, lateral-5: 1.4628, epsilon: 257.4901]
2025-10-24 12:42:56.807437 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7610, lateral-2: 1.3376, lateral-3: 1.3342, lateral-4: 1.3594, lateral-5: 1.4425, epsilon: 276.5388]
2025-10-24 12:43:01.374862 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7620, lateral-2: 1.3236, lateral-3: 1.3307, lateral-4: 1.3524, lateral-5: 1.4380, epsilon: 295.3234]
2025-10-24 12:43:05.860352 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7605, lateral-2: 1.2944, lateral-3: 1.3060, lateral-4: 1.3350, lateral-5: 1.4277, epsilon: 313.8771]
2025-10-24 12:43:11.380127 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7614, lateral-2: 1.2924, lateral-3: 1.3036, lateral-4: 1.3260, lateral-5: 1.4271, epsilon: 332.2264]
2025-10-24 12:43:16.548854 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7614, lateral-2: 1.2686, lateral-3: 1.2746, lateral-4: 1.3145, lateral-5: 1.4128, epsilon: 350.3931]
2025-10-24 12:43:22.242610 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7615, lateral-2: 1.2654, lateral-3: 1.2760, lateral-4: 1.3085, lateral-5: 1.4051, epsilon: 368.3956]
2025-10-24 12:43:28.639888 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7606, lateral-2: 1.2422, lateral-3: 1.2529, lateral-4: 1.2966, lateral-5: 1.3971, epsilon: 386.2490]
2025-10-24 12:43:34.487396 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7608, lateral-2: 1.2493, lateral-3: 1.2637, lateral-4: 1.2971, lateral-5: 1.3973, epsilon: 403.9671]
2025-10-24 12:43:42.274978 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7598, lateral-2: 1.2237, lateral-3: 1.2391, lateral-4: 1.2738, lateral-5: 1.3797, epsilon: 421.5605]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_1/Inf-Net-20.pth
2025-10-24 12:43:48.854293 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7605, lateral-2: 1.2082, lateral-3: 1.2168, lateral-4: 1.2510, lateral-5: 1.3686, epsilon: 439.0394]
2025-10-24 12:43:55.444653 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7601, lateral-2: 1.2065, lateral-3: 1.2219, lateral-4: 1.2604, lateral-5: 1.3666, epsilon: 456.4119]
2025-10-24 12:44:02.538496 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7603, lateral-2: 1.2011, lateral-3: 1.2178, lateral-4: 1.2539, lateral-5: 1.3584, epsilon: 473.6866]
2025-10-24 12:44:09.258881 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7591, lateral-2: 1.1979, lateral-3: 1.2090, lateral-4: 1.2452, lateral-5: 1.3553, epsilon: 490.8692]
2025-10-24 12:44:16.270754 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7578, lateral-2: 1.1681, lateral-3: 1.1837, lateral-4: 1.2318, lateral-5: 1.3433, epsilon: 507.9661]
2025-10-24 12:44:23.526368 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7576, lateral-2: 1.1559, lateral-3: 1.1728, lateral-4: 1.2216, lateral-5: 1.3309, epsilon: 524.9827]
2025-10-24 12:44:29.266047 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7574, lateral-2: 1.1513, lateral-3: 1.1797, lateral-4: 1.2168, lateral-5: 1.3338, epsilon: 541.9237]
2025-10-24 12:44:38.543725 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7568, lateral-2: 1.1601, lateral-3: 1.1779, lateral-4: 1.2243, lateral-5: 1.3365, epsilon: 558.7934]
2025-10-24 12:44:46.200093 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7564, lateral-2: 1.1429, lateral-3: 1.1630, lateral-4: 1.2083, lateral-5: 1.3175, epsilon: 575.5961]
2025-10-24 12:44:55.479926 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7568, lateral-2: 1.1245, lateral-3: 1.1485, lateral-4: 1.2060, lateral-5: 1.3068, epsilon: 592.3350]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_1/Inf-Net-30.pth
2025-10-24 12:45:07.542067 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7570, lateral-2: 1.1155, lateral-3: 1.1412, lateral-4: 1.1956, lateral-5: 1.3100, epsilon: 609.0136]
2025-10-24 12:45:15.652581 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7559, lateral-2: 1.0944, lateral-3: 1.1257, lateral-4: 1.1785, lateral-5: 1.2956, epsilon: 625.6347]
2025-10-24 12:45:24.285421 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7577, lateral-2: 1.1287, lateral-3: 1.1510, lateral-4: 1.1910, lateral-5: 1.2976, epsilon: 642.2014]
2025-10-24 12:45:33.239377 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7556, lateral-2: 1.1150, lateral-3: 1.1265, lateral-4: 1.1816, lateral-5: 1.2804, epsilon: 658.7160]
2025-10-24 12:45:41.903230 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.7552, lateral-2: 1.1157, lateral-3: 1.1356, lateral-4: 1.1907, lateral-5: 1.2911, epsilon: 675.1813]
2025-10-24 12:45:51.163712 Epoch [035/100], Step [0002/0002], [lateral-edge: 0.7545, lateral-2: 1.0894, lateral-3: 1.1145, lateral-4: 1.1824, lateral-5: 1.2784, epsilon: 691.5986]
